	gene	symbol	samplename	normalized_counts
1	c	HMMR	Activated_CD4_Rep1	8638.70203682833
2	ENSG00000101412	E2F1	Activated_CD4_Rep1	2564.61466718341
3	ENSG00000109805	NCAPG	Activated_CD4_Rep1	7387.8212791101
4	ENSG00000111640	GAPDH	Activated_CD4_Rep1	336953.685756389
5	ENSG00000111669	TPI1	Activated_CD4_Rep1	72767.4636503924
6	ENSG00000121152	NCAPH	Activated_CD4_Rep1	4575.91552308619
7	ENSG00000131747	TOP2A	Activated_CD4_Rep1	37934.4530281335
8	ENSG00000134690	CDCA8	Activated_CD4_Rep1	5061.22428493568
9	ENSG00000138160	KIF11	Activated_CD4_Rep1	7389.88203818377
10	ENSG00000138778	CENPE	Activated_CD4_Rep1	4292.56115045644
11	ENSG00000145386	CCNA2	Activated_CD4_Rep1	8407.89702057719
12	ENSG00000146670	CDCA5	Activated_CD4_Rep1	5450.70774985948
13	ENSG00000146918	NCAPG2	Activated_CD4_Rep1	9019.94246545744
14	ENSG00000162433	AK4	Activated_CD4_Rep1	8804.59314225883
15	ENSG00000163808	KIF15	Activated_CD4_Rep1	4368.80923618226
16	ENSG00000166803	PCLAF	Activated_CD4_Rep1	5894.80133023555
17	ENSG00000171241	SHCBP1	Activated_CD4_Rep1	3584.69040865049
18	ENSG00000171314	PGAM1	Activated_CD4_Rep1	53816.723208915
19	ENSG00000171848	RRM2	Activated_CD4_Rep1	28191.1841278176
20	ENSG00000176890	TYMS	Activated_CD4_Rep1	16069.7992564855
21	ENSG00000072571	HMMR	Activated_CD4_Rep2	6983.1638998204
22	ENSG00000101412	E2F1	Activated_CD4_Rep2	2349.46798663541
23	ENSG00000109805	NCAPG	Activated_CD4_Rep2	6098.70688270739
24	ENSG00000111640	GAPDH	Activated_CD4_Rep2	348943.480869219
25	ENSG00000111669	TPI1	Activated_CD4_Rep2	82984.5306056354
26	ENSG00000121152	NCAPH	Activated_CD4_Rep2	5031.74286206312
27	ENSG00000131747	TOP2A	Activated_CD4_Rep2	25938.291737164
28	ENSG00000134690	CDCA8	Activated_CD4_Rep2	3886.32560460677
29	ENSG00000138160	KIF11	Activated_CD4_Rep2	6467.85000749685
30	ENSG00000138778	CENPE	Activated_CD4_Rep2	3496.53689118254
31	ENSG00000145386	CCNA2	Activated_CD4_Rep2	6687.51907057067
32	ENSG00000146670	CDCA5	Activated_CD4_Rep2	5569.3539901122
33	ENSG00000146918	NCAPG2	Activated_CD4_Rep2	8059.21197946397
34	ENSG00000162433	AK4	Activated_CD4_Rep2	7746.22485576104
35	ENSG00000163808	KIF15	Activated_CD4_Rep2	3491.5819499102
36	ENSG00000166803	PCLAF	Activated_CD4_Rep2	5784.06811191368
37	ENSG00000171241	SHCBP1	Activated_CD4_Rep2	4462.7504392892
38	ENSG00000171314	PGAM1	Activated_CD4_Rep2	56002.397907098
39	ENSG00000171848	RRM2	Activated_CD4_Rep2	28722.1429086747
40	ENSG00000176890	TYMS	Activated_CD4_Rep2	14672.4069309495
41	ENSG00000072571	HMMR	Activated_CD4_Rep3	6439.73868741428
42	ENSG00000101412	E2F1	Activated_CD4_Rep3	2404.83392317377
43	ENSG00000109805	NCAPG	Activated_CD4_Rep3	6857.80391488787
44	ENSG00000111640	GAPDH	Activated_CD4_Rep3	270112.327016766
45	ENSG00000111669	TPI1	Activated_CD4_Rep3	77277.823114172
46	ENSG00000121152	NCAPH	Activated_CD4_Rep3	4583.37565899944
47	ENSG00000131747	TOP2A	Activated_CD4_Rep3	27387.1078603226
48	ENSG00000134690	CDCA8	Activated_CD4_Rep3	3808.61257689242
49	ENSG00000138160	KIF11	Activated_CD4_Rep3	7331.48332399785
50	ENSG00000138778	CENPE	Activated_CD4_Rep3	4087.64235027503
51	ENSG00000145386	CCNA2	Activated_CD4_Rep3	7463.80672168445
52	ENSG00000146670	CDCA5	Activated_CD4_Rep3	5429.0947659529
53	ENSG00000146918	NCAPG2	Activated_CD4_Rep3	7341.07197600413
54	ENSG00000162433	AK4	Activated_CD4_Rep3	7275.86914236146
55	ENSG00000163808	KIF15	Activated_CD4_Rep3	3517.11755590166
56	ENSG00000166803	PCLAF	Activated_CD4_Rep3	7024.64645979705
57	ENSG00000171241	SHCBP1	Activated_CD4_Rep3	3944.77143538153
58	ENSG00000171314	PGAM1	Activated_CD4_Rep3	45765.6771607499
59	ENSG00000171848	RRM2	Activated_CD4_Rep3	28204.0610112572
60	ENSG00000176890	TYMS	Activated_CD4_Rep3	16140.5779221627
