UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	263
0	292
0	4
46	83
0	2
65	404
2	1
66	14
2	18
499	7
0	2
12	49
18	132
0	60
3	1
0	116
217	2
1	2
17	6
2	2
1	0
210	4
28	1
51	365
174	3
13	47
45	13
81	83
6	152
0	9
134	0
90	0
6	0
0	0
9	63
27	266
64	361
15	0
10	126
18	62
494	6
1157	9
350	5
0	49
0	1
1	7
50	1
15	0
87	11
10	4
26	5
0	0
10	0
235	2
0	315
137	2
0	184
340	1
202	5
1	0
71	164
0	263
156	162
347	2
117	29
265	6
203	0
191	5
165	2
226	0
60	1
328	1
98	0
453	5
84	1
185	2
66	0
112	1
42	0
0	0
58	0
98	4
100	1
2	0
176	1
179	2
70	0
1	0
11	0
38	0
163	9
66	8
1	0
71	0
12	0
105	1
171	1
61	315
35	185
8	293
0	4
24	80
0	2
21	404
9	18
1	2
78	50
9	132
4	60
0	1
22	116
0	2
64	364
23	47
0	152
0	9
0	0
0	63
0	265
0	361
0	126
0	62
0	49
70	4
191	0
205	4
131	1
199	4
97	0
104	0
0	0
76	1
1	0
79	5
139	4
208	29
64	1
317	5
0	2
0	8
0	41
0	41
0	108
0	32
0	5
0	5
0	33
0	39
0	0
0	0
0	0
0	0
0	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
4	4
0	8
0	0
0	7
0	13
0	13
0	13
1	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	55
0	55
0	47
0	53
0	0
0	43
0	43
0	0
0	0
0	0
0	0
0	1
0	1
0	1
0	0
0	0
0	0
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	5
0	0
0	0
0	0
0	4
0	4
0	9
0	7
3	6
0	2
0	2
0	0
0	0
0	0
0	5
0	9
0	7
0	25
0	31
0	23
0	4
0	29
0	26
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
193	3193
5	2662
10	2018
9	1031
0	458
2	2735
0	0
0	0
0	0
0	0
0	0
0	0
0	9
0	8
0	0
0	10
0	41
0	41
0	108
