	gene	symbol	samplename	normalized_counts
1	ENSG00000066279	ASPM	Activated_CD8_Rep1	5694.7557414548
2	ENSG00000073111	MCM2	Activated_CD8_Rep1	12609.2842136659
3	ENSG00000089692	LAG3	Activated_CD8_Rep1	7313.04963920634
4	ENSG00000105281	SLC1A5	Activated_CD8_Rep1	6502.97156610862
5	ENSG00000105835	NAMPT	Activated_CD8_Rep1	43614.7896804258
6	ENSG00000123473	STIL	Activated_CD8_Rep1	3729.15250891538
7	ENSG00000134333	LDHA	Activated_CD8_Rep1	126324.692067925
8	ENSG00000134690	CDCA8	Activated_CD8_Rep1	5454.52569219134
9	ENSG00000137265	IRF4	Activated_CD8_Rep1	18827.3317678574
10	ENSG00000138160	KIF11	Activated_CD8_Rep1	6492.72919966715
11	ENSG00000140968	IRF8	Activated_CD8_Rep1	9917.40408800442
12	ENSG00000142945	KIF2C	Activated_CD8_Rep1	8674.3532516993
13	ENSG00000145386	CCNA2	Activated_CD8_Rep1	8310.2836809163
14	ENSG00000148773	MKI67	Activated_CD8_Rep1	22817.1990589192
15	ENSG00000149554	CHEK1	Activated_CD8_Rep1	5822.31975986214
16	ENSG00000151725	CENPU	Activated_CD8_Rep1	5013.17281098637
17	ENSG00000164687	FABP5	Activated_CD8_Rep1	8280.48770581385
18	ENSG00000171314	PGAM1	Activated_CD8_Rep1	50483.6930657613
19	ENSG00000179388	EGR3	Activated_CD8_Rep1	4176.09213545206
20	ENSG00000237649	KIFC1	Activated_CD8_Rep1	4876.29755035951
21	ENSG00000066279	ASPM	Activated_CD8_Rep2	4665.05682919986
22	ENSG00000073111	MCM2	Activated_CD8_Rep2	10713.6900749889
23	ENSG00000089692	LAG3	Activated_CD8_Rep2	7451.58501639796
24	ENSG00000105281	SLC1A5	Activated_CD8_Rep2	5957.92136106042
25	ENSG00000105835	NAMPT	Activated_CD8_Rep2	36238.9576001351
26	ENSG00000123473	STIL	Activated_CD8_Rep2	3130.00037209294
27	ENSG00000134333	LDHA	Activated_CD8_Rep2	127995.350050016
28	ENSG00000134690	CDCA8	Activated_CD8_Rep2	3763.22216937342
29	ENSG00000137265	IRF4	Activated_CD8_Rep2	19432.5993838578
30	ENSG00000138160	KIF11	Activated_CD8_Rep2	6011.64393356961
31	ENSG00000140968	IRF8	Activated_CD8_Rep2	12424.8861140932
32	ENSG00000142945	KIF2C	Activated_CD8_Rep2	5118.61625284304
33	ENSG00000145386	CCNA2	Activated_CD8_Rep2	8507.54181047208
34	ENSG00000148773	MKI67	Activated_CD8_Rep2	15406.9292373083
35	ENSG00000149554	CHEK1	Activated_CD8_Rep2	5450.63936490805
36	ENSG00000151725	CENPU	Activated_CD8_Rep2	5276.26117873067
37	ENSG00000164687	FABP5	Activated_CD8_Rep2	8639.6464969701
38	ENSG00000171314	PGAM1	Activated_CD8_Rep2	53771.0108942415
39	ENSG00000179388	EGR3	Activated_CD8_Rep2	6165.76606781729
40	ENSG00000237649	KIFC1	Activated_CD8_Rep2	4054.73317757903
41	ENSG00000066279	ASPM	Activated_CD8_Rep3	4746.87002010629
42	ENSG00000073111	MCM2	Activated_CD8_Rep3	13341.2883933198
43	ENSG00000089692	LAG3	Activated_CD8_Rep3	7506.05010954793
44	ENSG00000105281	SLC1A5	Activated_CD8_Rep3	8109.19877510288
45	ENSG00000105835	NAMPT	Activated_CD8_Rep3	43848.0077639555
46	ENSG00000123473	STIL	Activated_CD8_Rep3	3320.91854810774
47	ENSG00000134333	LDHA	Activated_CD8_Rep3	132634.19199931
48	ENSG00000134690	CDCA8	Activated_CD8_Rep3	4347.17150144003
49	ENSG00000137265	IRF4	Activated_CD8_Rep3	19806.6819993132
50	ENSG00000138160	KIF11	Activated_CD8_Rep3	5545.36683554992
51	ENSG00000140968	IRF8	Activated_CD8_Rep3	13121.6342524311
52	ENSG00000142945	KIF2C	Activated_CD8_Rep3	5918.95891943843
53	ENSG00000145386	CCNA2	Activated_CD8_Rep3	7449.33613054799
54	ENSG00000148773	MKI67	Activated_CD8_Rep3	16470.4596790944
55	ENSG00000149554	CHEK1	Activated_CD8_Rep3	5828.93673054964
56	ENSG00000151725	CENPU	Activated_CD8_Rep3	4117.6149197736
57	ENSG00000164687	FABP5	Activated_CD8_Rep3	10927.7935092111
58	ENSG00000171314	PGAM1	Activated_CD8_Rep3	57514.2762591638
59	ENSG00000179388	EGR3	Activated_CD8_Rep3	5783.92563610524
60	ENSG00000237649	KIFC1	Activated_CD8_Rep3	4506.5107757732
61	ENSG00000066279	ASPM	Naive_CD8_Rep1	36.1332283729836
62	ENSG00000073111	MCM2	Naive_CD8_Rep1	362.36466168335
63	ENSG00000089692	LAG3	Naive_CD8_Rep1	128.014866235713
64	ENSG00000105281	SLC1A5	Naive_CD8_Rep1	85.6873701416468
65	ENSG00000105835	NAMPT	Naive_CD8_Rep1	992.115213326778
66	ENSG00000123473	STIL	Naive_CD8_Rep1	116.658708747061
67	ENSG00000134333	LDHA	Naive_CD8_Rep1	10046.069865643
68	ENSG00000134690	CDCA8	Naive_CD8_Rep1	27.8742047448731
69	ENSG00000137265	IRF4	Naive_CD8_Rep1	269.450645867106
70	ENSG00000138160	KIF11	Naive_CD8_Rep1	135.24151191031
71	ENSG00000140968	IRF8	Naive_CD8_Rep1	254.997354517913
72	ENSG00000142945	KIF2C	Naive_CD8_Rep1	40.2627401870389
73	ENSG00000145386	CCNA2	Naive_CD8_Rep1	99.1082835373264
74	ENSG00000148773	MKI67	Naive_CD8_Rep1	405.72453573093
75	ENSG00000149554	CHEK1	Naive_CD8_Rep1	89.8168819557021
76	ENSG00000151725	CENPU	Naive_CD8_Rep1	121.82059851463
77	ENSG00000164687	FABP5	Naive_CD8_Rep1	275.644913588189
