UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
31	584
0	1347
14	46
119	165
0	0
38	285
79	1
157	28
2	70
642	41
0	19
31	125
33	305
0	109
0	4
7	104
285	6
5	0
20	11
3	0
0	0
173	8
64	0
172	742
77	6
28	352
193	27
488	248
26	662
0	73
321	9
271	5
3	0
0	0
51	488
34	1582
104	1516
216	7
33	458
3	203
442	11
997	29
1476	25
0	420
0	3
0	1
14	0
0	0
96	4
22	24
97	23
0	0
0	0
110	1
0	599
664	26
0	154
1729	61
376	24
0	0
103	189
0	584
85	190
380	8
172	93
264	3
250	7
404	9
412	6
256	1
124	3
245	2
27	0
319	8
254	3
240	10
115	0
418	2
64	1
0	1
68	2
173	8
305	0
0	0
177	0
446	4
44	1
6	0
12	1
151	0
188	19
116	21
4	0
93	4
28	0
125	3
147	0
124	600
34	154
18	1347
10	46
13	162
1	0
24	287
7	71
3	19
200	131
23	307
25	109
0	4
13	104
0	0
0	740
287	351
20	662
11	73
0	0
0	488
56	1582
89	1518
0	452
26	201
20	422
77	5
112	0
190	0
196	8
251	7
77	4
128	1
4	0
126	4
0	0
117	1
345	11
175	91
388	7
468	17
0	0
0	18
0	29
0	30
0	257
0	16
0	10
0	0
0	23
0	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	14
0	14
1	0
0	10
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	41
2	42
0	35
0	42
0	0
0	81
0	81
0	5
0	5
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	30
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	30
0	46
2	51
0	24
0	10
0	50
0	43
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
0	1
0	0
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
42	668
4	519
0	423
0	190
0	79
0	600
0	0
0	0
0	0
0	0
0	0
0	0
0	54
0	50
0	0
0	30
0	41
0	46
0	269
