UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
41	785
0	1538
13	17
91	132
0	2
28	297
52	6
215	35
5	43
667	29
0	22
59	142
42	320
0	112
2	1
9	124
206	16
0	0
16	5
8	2
6	0
204	8
43	2
180	677
84	6
47	356
123	34
559	285
63	697
8	51
363	13
236	5
10	0
0	0
54	417
45	1149
189	1529
228	11
18	263
18	163
406	14
2009	66
767	30
1	191
0	0
5	3
17	0
15	0
121	12
8	40
122	42
0	0
7	3
198	2
0	603
512	15
0	264
1230	50
262	6
0	0
106	327
0	785
268	332
379	6
171	55
234	15
306	1
429	12
438	12
221	0
91	3
235	5
27	5
351	14
215	5
227	11
96	0
204	5
64	1
0	0
56	0
120	6
297	3
0	0
157	3
286	8
31	0
4	2
12	0
154	7
230	26
64	22
14	0
39	4
34	2
72	1
92	1
100	604
31	265
35	1538
6	19
7	129
0	2
17	293
7	44
0	22
254	152
10	318
13	114
0	1
10	124
0	0
0	674
254	354
1	697
0	51
0	0
0	417
0	1147
0	1526
0	256
0	163
15	192
99	2
128	3
180	6
162	4
297	9
81	1
62	0
0	0
120	10
0	0
124	4
400	23
186	55
316	5
563	14
0	0
0	25
0	70
0	81
0	228
0	54
0	7
0	7
0	66
0	69
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
9	6
3	8
0	0
0	8
0	0
0	0
0	0
0	0
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	75
0	86
0	71
0	74
0	0
0	126
0	126
0	0
0	0
0	8
0	8
1	0
0	0
0	0
0	8
0	0
0	0
23	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	1
0	0
0	0
0	0
0	0
0	4
0	5
0	4
0	5
0	4
0	4
4	1
0	1
0	1
0	5
3	5
0	24
0	64
0	72
0	51
0	7
0	66
0	63
0	0
0	2
0	2
0	2
0	0
0	2
0	2
0	0
0	2
0	2
0	2
0	0
0	2
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	5
0	3
0	5
0	0
0	3
0	0
0	2
0	0
0	8
0	8
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	8
28	783
3	621
0	469
0	164
0	73
0	702
0	0
0	0
0	0
0	0
0	0
0	0
0	26
0	25
0	0
0	28
0	72
0	84
1	231
