	gene	symbol	samplename	normalized_counts
1	ENSG00000010610	CD4	Naive_CD4_Rep1	9819.64350380154
2	ENSG00000060138	YBX3	Naive_CD4_Rep1	372.462256173878
3	ENSG00000102245	CD40LG	Naive_CD4_Rep1	1194.30832142711
4	ENSG00000111863	ADTRP	Naive_CD4_Rep1	3343.05117429978
5	ENSG00000112473	SLC39A7	Naive_CD4_Rep1	736.827506778759
6	ENSG00000124813	RUNX2	Naive_CD4_Rep1	661.930205265534
7	ENSG00000135636	DYSF	Naive_CD4_Rep1	18.218262530244
8	ENSG00000153563	CD8A	Naive_CD4_Rep1	22.2667653147427
9	ENSG00000156299	TIAM1	Naive_CD4_Rep1	3077.87424191512
10	ENSG00000164512	ANKRD55	Naive_CD4_Rep1	859.294716009844
11	ENSG00000164733	CTSB	Naive_CD4_Rep1	2506.02322360468
12	ENSG00000169855	ROBO1	Naive_CD4_Rep1	3.03637708837401
13	ENSG00000171451	DSEL	Naive_CD4_Rep1	157.891608595448
14	ENSG00000172116	CD8B	Naive_CD4_Rep1	323.880222759894
15	ENSG00000172543	CTSW	Naive_CD4_Rep1	2423.02891652246
16	ENSG00000174807	CD248	Naive_CD4_Rep1	59.7154160713555
17	ENSG00000183542	KLRC4	Naive_CD4_Rep1	30.3637708837401
18	ENSG00000228736	RGL2	Naive_CD4_Rep1	0
19	ENSG00000233673	ANAPC1P1	Naive_CD4_Rep1	6.07275417674802
20	ENSG00000268758	ADGRE4P	Naive_CD4_Rep1	781.361037408245
21	ENSG00000010610	CD4	Naive_CD4_Rep2	13552.3099306201
22	ENSG00000060138	YBX3	Naive_CD4_Rep2	172.303206941869
23	ENSG00000102245	CD40LG	Naive_CD4_Rep2	1773.83942531181
24	ENSG00000111863	ADTRP	Naive_CD4_Rep2	3990.58645308316
25	ENSG00000112473	SLC39A7	Naive_CD4_Rep2	826.171787131527
26	ENSG00000124813	RUNX2	Naive_CD4_Rep2	545.626821982586
27	ENSG00000135636	DYSF	Naive_CD4_Rep2	27.6126934201714
28	ENSG00000153563	CD8A	Naive_CD4_Rep2	2.20901547361371
29	ENSG00000156299	TIAM1	Naive_CD4_Rep2	3990.58645308316
30	ENSG00000164512	ANKRD55	Naive_CD4_Rep2	1966.0237715162
31	ENSG00000164733	CTSB	Naive_CD4_Rep2	3139.01098800508
32	ENSG00000169855	ROBO1	Naive_CD4_Rep2	4.41803094722742
33	ENSG00000171451	DSEL	Naive_CD4_Rep2	185.557299783552
34	ENSG00000172116	CD8B	Naive_CD4_Rep2	49.7028481563084
35	ENSG00000172543	CTSW	Naive_CD4_Rep2	2006.89055777805
36	ENSG00000174807	CD248	Naive_CD4_Rep2	46.3893249458879
37	ENSG00000183542	KLRC4	Naive_CD4_Rep2	9.94056963126169
38	ENSG00000228736	RGL2	Naive_CD4_Rep2	0
39	ENSG00000233673	ANAPC1P1	Naive_CD4_Rep2	19.8811392625234
40	ENSG00000268758	ADGRE4P	Naive_CD4_Rep2	493.714958352664
41	ENSG00000010610	CD4	Naive_CD4_Rep3	12478.6333332769
42	ENSG00000060138	YBX3	Naive_CD4_Rep3	220.194780730148
43	ENSG00000102245	CD40LG	Naive_CD4_Rep3	2311.58065171565
44	ENSG00000111863	ADTRP	Naive_CD4_Rep3	2719.45199661242
45	ENSG00000112473	SLC39A7	Naive_CD4_Rep3	521.220556918198
46	ENSG00000124813	RUNX2	Naive_CD4_Rep3	796.231759855429
47	ENSG00000135636	DYSF	Naive_CD4_Rep3	27.8727570544491
48	ENSG00000153563	CD8A	Naive_CD4_Rep3	4.64545950907485
49	ENSG00000156299	TIAM1	Naive_CD4_Rep3	3563.06744346041
50	ENSG00000164512	ANKRD55	Naive_CD4_Rep3	1281.21773260284
51	ENSG00000164733	CTSB	Naive_CD4_Rep3	2626.54280643092
52	ENSG00000169855	ROBO1	Naive_CD4_Rep3	2.78727570544491
53	ENSG00000171451	DSEL	Naive_CD4_Rep3	125.427406745021
54	ENSG00000172116	CD8B	Naive_CD4_Rep3	142.15106097769
55	ENSG00000172543	CTSW	Naive_CD4_Rep3	1814.51648424464
56	ENSG00000174807	CD248	Naive_CD4_Rep3	91.980098279682
57	ENSG00000183542	KLRC4	Naive_CD4_Rep3	13.0072866254096
58	ENSG00000228736	RGL2	Naive_CD4_Rep3	0
59	ENSG00000233673	ANAPC1P1	Naive_CD4_Rep3	9.2909190181497
60	ENSG00000268758	ADGRE4P	Naive_CD4_Rep3	1084.25024941807
61	ENSG00000010610	CD4	Naive_CD8_Rep1	9.39453790364735
62	ENSG00000060138	YBX3	Naive_CD8_Rep1	2277.23598784412
63	ENSG00000102245	CD40LG	Naive_CD8_Rep1	52.6094122604251
64	ENSG00000111863	ADTRP	Naive_CD8_Rep1	637.889123657655
65	ENSG00000112473	SLC39A7	Naive_CD8_Rep1	0
66	ENSG00000124813	RUNX2	Naive_CD8_Rep1	2284.75161816703
67	ENSG00000135636	DYSF	Naive_CD8_Rep1	512.00231574878
68	ENSG00000153563	CD8A	Naive_CD8_Rep1	18778.7418156007
69	ENSG00000156299	TIAM1	Naive_CD8_Rep1	759.078662614706
70	ENSG00000164512	ANKRD55	Naive_CD8_Rep1	7.51563032291788
71	ENSG00000164733	CTSB	Naive_CD8_Rep1	988.305387463701
72	ENSG00000169855	ROBO1	Naive_CD8_Rep1	403.025676066471
73	ENSG00000171451	DSEL	Naive_CD8_Rep1	1007.094463271
74	ENSG00000172116	CD8B	Naive_CD8_Rep1	25103.1447323361
75	ENSG00000172543	CTSW	Naive_CD8_Rep1	8009.78301664973
76	ENSG00000174807	CD248	Naive_CD8_Rep1	497.910508893309
77	ENSG00000183542	KLRC4	Naive_CD8_Rep1	372.023700984435
78	ENSG00000228736	RGL2	Naive_CD8_Rep1	417.117482921942
79	ENSG00000233673	ANAPC1P1	Naive_CD8_Rep1	410.541306389389
80	ENSG00000268758	ADGRE4P	Naive_CD8_Rep1	21.6074371783889
81	ENSG00000010610	CD4	Naive_CD8_Rep2	41.7789092646591
82	ENSG00000060138	YBX3	Naive_CD8_Rep2	1549.89563394016
83	ENSG00000102245	CD40LG	Naive_CD8_Rep2	58.0828738557456
84	ENSG00000111863	ADTRP	Naive_CD8_Rep2	541.087824866682
85	ENSG00000112473	SLC39A7	Naive_CD8_Rep2	0
86	ENSG00000124813	RUNX2	Naive_CD8_Rep2	2767.59798933693
87	ENSG00000135636	DYSF	Naive_CD8_Rep2	351.554236495302
88	ENSG00000153563	CD8A	Naive_CD8_Rep2	28825.4093970409
89	ENSG00000156299	TIAM1	Naive_CD8_Rep2	420.84608600742
90	ENSG00000164512	ANKRD55	Naive_CD8_Rep2	28.5319380344013
91	ENSG00000164733	CTSB	Naive_CD8_Rep2	765.267337994121
92	ENSG00000169855	ROBO1	Naive_CD8_Rep2	290.414369278728
93	ENSG00000171451	DSEL	Naive_CD8_Rep2	968.047897595759
94	ENSG00000172116	CD8B	Naive_CD8_Rep2	44002.3624357685
95	ENSG00000172543	CTSW	Naive_CD8_Rep2	9820.08167276877
96	ENSG00000174807	CD248	Naive_CD8_Rep2	1107.65059440694
97	ENSG00000183542	KLRC4	Naive_CD8_Rep2	381.105172316646
98	ENSG00000228736	RGL2	Naive_CD8_Rep2	471.795975354565
99	ENSG00000233673	ANAPC1P1	Naive_CD8_Rep2	226.217508701325
100	ENSG00000268758	ADGRE4P	Naive_CD8_Rep2	13.2469712302578
101	ENSG00000010610	CD4	Naive_CD8_Rep3	15.5737495304564
102	ENSG00000060138	YBX3	Naive_CD8_Rep3	2046.97470390937
103	ENSG00000102245	CD40LG	Naive_CD8_Rep3	10.7069528021888
104	ENSG00000111863	ADTRP	Naive_CD8_Rep3	460.398970494118
105	ENSG00000112473	SLC39A7	Naive_CD8_Rep3	0
106	ENSG00000124813	RUNX2	Naive_CD8_Rep3	3235.44646495232
107	ENSG00000135636	DYSF	Naive_CD8_Rep3	503.226781702873
108	ENSG00000153563	CD8A	Naive_CD8_Rep3	18556.1225655388
109	ENSG00000156299	TIAM1	Naive_CD8_Rep3	867.263176977292
110	ENSG00000164512	ANKRD55	Naive_CD8_Rep3	30.1741397152593
111	ENSG00000164733	CTSB	Naive_CD8_Rep3	876.023411088174
112	ENSG00000169855	ROBO1	Naive_CD8_Rep3	318.288506028703
113	ENSG00000171451	DSEL	Naive_CD8_Rep3	1377.30347409974
114	ENSG00000172116	CD8B	Naive_CD8_Rep3	29724.4476975674
115	ENSG00000172543	CTSW	Naive_CD8_Rep3	7915.35819885448
116	ENSG00000174807	CD248	Naive_CD8_Rep3	643.390527476981
117	ENSG00000183542	KLRC4	Naive_CD8_Rep3	315.368427991743
118	ENSG00000228736	RGL2	Naive_CD8_Rep3	505.17350039418
119	ENSG00000233673	ANAPC1P1	Naive_CD8_Rep3	480.839516752842
120	ENSG00000268758	ADGRE4P	Naive_CD8_Rep3	54.5081233565975
